<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADOC.US,D,20201211,000000,9.99,10.1042,9.95,10.1042,726267,0
ADOC.US,D,20201214,000000,10.1,10.1,9.98,10,70540,0
ADOC.US,D,20201215,000000,10,10.0278,9.97,10,241727,0
ADOC.US,D,20201216,000000,9.991,10,9.965,9.97,119965,0
ADOC.US,D,20201217,000000,10,10.06,9.99,10,36412,0
ADOC.US,D,20201218,000000,9.99,10,9.95,10,50419,0
ADOC.US,D,20201221,000000,9.97,10,9.97,10,3874,0
ADOC.US,D,20201222,000000,10.01,10.02,9.995,10,80968,0
ADOC.US,D,20201223,000000,10,10.0496,9.99,10.03,450979,0
ADOC.US,D,20201224,000000,10.03,10.1,10.01,10.03,50285,0
ADOC.US,D,20201228,000000,10.08,10.25,10.08,10.23,56070,0
ADOC.US,D,20201229,000000,10.25,10.25,10.08,10.15,7385,0
ADOC.US,D,20201230,000000,10.18,10.24,10.15,10.24,152738,0
ADOC.US,D,20201231,000000,10.2,10.25,10.2,10.24,23533,0
ADOC.US,D,20210104,000000,10.25,10.3,10.25,10.2707,21763,0
ADOC.US,D,20210105,000000,10.27,10.27,10.19,10.22,12940,0
ADOC.US,D,20210106,000000,10.22,10.3033,10.22,10.25,26693,0
ADOC.US,D,20210107,000000,10.25,10.31,10.2301,10.31,21282,0
ADOC.US,D,20210108,000000,10.3,10.325,10.28,10.3001,84554,0
ADOC.US,D,20210111,000000,10.29,10.3,10.255,10.274,22041,0
ADOC.US,D,20210112,000000,10.33,10.34,10.26,10.3,158686,0
ADOC.US,D,20210113,000000,10.33,10.3398,10.3,10.3,9867,0
ADOC.US,D,20210114,000000,10.33,10.33,10.26,10.26,10941,0
ADOC.US,D,20210115,000000,10.2814,10.34,10.21,10.32,108755,0
ADOC.US,D,20210119,000000,10.26,10.29,10.26,10.27,11572,0
ADOC.US,D,20210120,000000,10.33,10.33,10.22,10.29,65025,0
ADOC.US,D,20210121,000000,10.3,10.3,10.27,10.3,24834,0
ADOC.US,D,20210122,000000,10.3,10.31,10.27,10.2947,7223,0
ADOC.US,D,20210125,000000,10.3,10.31,10.26,10.27,21956,0
ADOC.US,D,20210126,000000,10.3,10.3,10.18,10.23,128509,0
ADOC.US,D,20210127,000000,10.23,10.23,10.1,10.1899,145656,0
ADOC.US,D,20210128,000000,10.16,10.23,10.15,10.22,62834,0
ADOC.US,D,20210129,000000,10.16,10.2306,10.15,10.16,9720,0
ADOC.US,D,20210201,000000,10.32,10.32,10.1701,10.21,7810,0
ADOC.US,D,20210202,000000,10.25,10.29,10.25,10.28,3555,0
ADOC.US,D,20210203,000000,10.29,10.31,10.2698,10.3,7850,0
ADOC.US,D,20210204,000000,10.3,10.31,10.28,10.31,5084,0
ADOC.US,D,20210205,000000,10.37,10.37,10.3,10.3,2717,0
ADOC.US,D,20210208,000000,10.34,10.34,10.29,10.3,13149,0
ADOC.US,D,20210209,000000,10.26,10.3,10.25,10.3,10686,0
ADOC.US,D,20210210,000000,10.3,10.3,10.2228,10.3,316683,0
ADOC.US,D,20210211,000000,10.3,10.3,10.26,10.3,3953,0
ADOC.US,D,20210212,000000,10.3,10.3,10.15,10.16,49111,0
ADOC.US,D,20210216,000000,10.175,10.2,10.1745,10.2,10576,0
ADOC.US,D,20210217,000000,10.2,10.23,10.16,10.17,16929,0
ADOC.US,D,20210218,000000,10.16,10.29,10.16,10.26,427842,0
ADOC.US,D,20210219,000000,10.2,10.32,10.185,10.32,112672,0
ADOC.US,D,20210222,000000,10.2,10.28,10.18,10.28,43092,0
ADOC.US,D,20210223,000000,10.15,10.24,10.15,10.2,57300,0
ADOC.US,D,20210224,000000,10.2,10.3,10.2,10.3,28015,0
ADOC.US,D,20210225,000000,10.34,10.34,10.17,10.22,10565,0
ADOC.US,D,20210226,000000,10.16,10.2399,10.15,10.16,15994,0
ADOC.US,D,20210301,000000,10.14,10.15,10.05,10.08,58626,0
ADOC.US,D,20210302,000000,10.06,10.12,9.98,10,50229,0
ADOC.US,D,20210303,000000,10.0535,10.09,10,10.06,34753,0
ADOC.US,D,20210304,000000,10,10.025,10,10.01,51539,0
ADOC.US,D,20210305,000000,10.01,10.06,10,10.06,20940,0
ADOC.US,D,20210308,000000,10.05,10.06,10,10,21801,0
ADOC.US,D,20210309,000000,10,10.06,10,10.06,1590,0
ADOC.US,D,20210310,000000,10.03,10.06,9.99,10.02,106685,0
ADOC.US,D,20210312,000000,10.02,10.03,10.02,10.03,53075,0
ADOC.US,D,20210315,000000,10.06,10.1,10.03,10.03,4271,0
ADOC.US,D,20210316,000000,10.06,10.06,10.03,10.03,2234,0
ADOC.US,D,20210317,000000,10.02,10.09,10.01,10.01,4176,0
ADOC.US,D,20210318,000000,10.0105,10.0163,10.0101,10.0101,2279,0
ADOC.US,D,20210319,000000,10.02,10.04,10.01,10.03,8119,0
ADOC.US,D,20210322,000000,10.01,10.02,10,10.02,7030,0
ADOC.US,D,20210323,000000,10.04,10.04,9.96,9.96,78560,0
ADOC.US,D,20210324,000000,9.99,9.99,9.94,9.99,117995,0
ADOC.US,D,20210325,000000,9.99,9.99,9.94,9.95,107528,0
ADOC.US,D,20210326,000000,9.95,10.03,9.95,10,143880,0
ADOC.US,D,20210329,000000,9.95,10,9.95,9.96,157519,0
ADOC.US,D,20210330,000000,9.96,9.9826,9.96,9.9826,1962,0
ADOC.US,D,20210331,000000,9.9811,9.9849,9.9811,9.9849,6634,0
ADOC.US,D,20210401,000000,9.99,10,9.99,9.99,17435,0
ADOC.US,D,20210405,000000,10,10.01,10,10.01,8399,0
ADOC.US,D,20210406,000000,10.02,10.08,10.02,10.03,39428,0
ADOC.US,D,20210407,000000,10.05,10.05,10.02,10.02,3521,0
ADOC.US,D,20210408,000000,10.02,10.02,10.02,10.02,214,0
ADOC.US,D,20210409,000000,10.02,10.12,10.02,10.12,56623,0
ADOC.US,D,20210412,000000,10.12,10.12,10.03,10.12,7447,0
ADOC.US,D,20210413,000000,10.02,10.09,10.02,10.05,4442,0
ADOC.US,D,20210414,000000,10.0411,10.08,10.04,10.05,143752,0
ADOC.US,D,20210415,000000,10.05,10.07,10.04,10.07,216331,0
ADOC.US,D,20210416,000000,10.0501,10.08,10.05,10.08,2393,0
ADOC.US,D,20210419,000000,10.05,10.08,10.05,10.07,4421,0
ADOC.US,D,20210420,000000,10.05,10.09,10.04,10.05,58419,0
ADOC.US,D,20210422,000000,10.05,10.05,10.03,10.04,9164,0
ADOC.US,D,20210426,000000,10.05,10.05,10.04,10.04,1639,0
ADOC.US,D,20210427,000000,10.07,10.07,10.03,10.03,2948,0
ADOC.US,D,20210428,000000,10.03,10.03,10.03,10.03,146,0
ADOC.US,D,20210429,000000,10.0428,10.0428,10.04,10.04,1143,0
ADOC.US,D,20210430,000000,10.05,10.05,10.04,10.04,3274,0
ADOC.US,D,20210503,000000,10.04,10.04,10.04,10.04,889,0
ADOC.US,D,20210504,000000,10.0481,10.05,10.04,10.05,12827,0
ADOC.US,D,20210505,000000,10.09,10.09,10.05,10.05,4381,0
ADOC.US,D,20210506,000000,10.06,10.07,10.05,10.05,2373,0
ADOC.US,D,20210507,000000,10.04,10.068,10.04,10.068,749,0
ADOC.US,D,20210510,000000,10.05,10.064,10.05,10.05,2184,0
ADOC.US,D,20210511,000000,10.05,10.05,10.03,10.04,77383,0
ADOC.US,D,20210512,000000,10.05,10.055,10.05,10.05,8381,0
ADOC.US,D,20210513,000000,10.05,10.0501,10.05,10.05,3600,0
ADOC.US,D,20210514,000000,10.05,10.05,10.05,10.05,1063,0
ADOC.US,D,20210517,000000,10.05,10.05,10.05,10.05,1103,0
ADOC.US,D,20210518,000000,10.05,10.05,10.01,10.01,14788,0
ADOC.US,D,20210519,000000,10,10.09,10,10,2971,0
ADOC.US,D,20210520,000000,10,10.0012,10,10,6659,0
ADOC.US,D,20210521,000000,10,10,10,10,2152,0
ADOC.US,D,20210524,000000,10,10,10,10,1100,0
ADOC.US,D,20210525,000000,10.01,10.01,10,10,1033,0
ADOC.US,D,20210526,000000,10.05,10.05,10,10,2616,0
ADOC.US,D,20210527,000000,10,10.02,10,10.01,3569,0
ADOC.US,D,20210528,000000,10.03,10.035,10.0259,10.03,2083,0
ADOC.US,D,20210601,000000,10.03,10.03,10.03,10.03,1368,0
ADOC.US,D,20210602,000000,10.03,10.0402,10.03,10.03,52555,0
ADOC.US,D,20210603,000000,10.04,10.0451,10.02,10.0451,172108,0
