<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MINO.US,D,20210913,000000,50,50.01,49.99,49.99,23303,0
MINO.US,D,20210914,000000,50.025,50.025,50.025,50.025,2,0
MINO.US,D,20210915,000000,50.03,50.03,50.025,50.025,900,0
MINO.US,D,20210916,000000,50.03,50.04,50,50,5751,0
MINO.US,D,20210917,000000,50.0499,50.0499,50,50,740,0
MINO.US,D,20210920,000000,50.06,50.06,50.06,50.06,600,0
MINO.US,D,20210921,000000,50.0563,50.0563,50.0563,50.0563,400,0
MINO.US,D,20210922,000000,50.035,50.035,50.035,50.035,400,0
MINO.US,D,20210923,000000,49.96,49.96,49.905,49.905,240,0
MINO.US,D,20210924,000000,49.89,49.89,49.87,49.87,145,0
MINO.US,D,20210927,000000,49.83,49.83,49.83,49.83,400,0
MINO.US,D,20210928,000000,49.69,49.69,49.64,49.64,1201,0
MINO.US,D,20210929,000000,49.6499,49.6499,49.585,49.585,301,0
MINO.US,D,20210930,000000,49.62,49.62,49.5545,49.555,1454,0
MINO.US,D,20211001,000000,49.6,49.6,49.551,49.595,4720,0
MINO.US,D,20211004,000000,49.5201,49.59,49.5201,49.59,120,0
MINO.US,D,20211005,000000,49.55,49.55,49.55,49.55,400,0
MINO.US,D,20211006,000000,49.535,49.535,49.535,49.535,10,0
MINO.US,D,20211007,000000,49.5,49.5,49.48,49.48,1481,0
MINO.US,D,20211008,000000,49.495,49.53,49.45,49.4678,9561,0
MINO.US,D,20211011,000000,49.52,49.52,49.435,49.435,16968,0
MINO.US,D,20211012,000000,49.52,49.52,49.48,49.5,1911,0
MINO.US,D,20211013,000000,49.51,49.51,49.47,49.5,6714,0
MINO.US,D,20211014,000000,49.48,49.5099,49.4201,49.5,32247,0
MINO.US,D,20211015,000000,49.5,49.5,49.465,49.465,722,0
MINO.US,D,20211018,000000,49.5099,49.51,49.49,49.4982,5257,0
MINO.US,D,20211019,000000,49.46,49.46,49.45,49.46,312,0
MINO.US,D,20211020,000000,49.4475,49.4697,49.42,49.445,21926,0
MINO.US,D,20211021,000000,49.4,49.4,49.31,49.355,20832,0
MINO.US,D,20211022,000000,49.305,49.33,49.305,49.33,1083,0
MINO.US,D,20211025,000000,49.3248,49.3248,49.295,49.295,3985,0
MINO.US,D,20211026,000000,49.25,49.3076,49.25,49.275,1760,0
MINO.US,D,20211027,000000,49.358,49.4,49.358,49.4,7585,0
